BGC_features	SMILES
['PF12559.11']	CC(C)CC1NC(=O)C2CC(=O)OC(C)C(NC(=O)C(CC3=CNC4=CC=CC=C34)NC(=O)C3CCCN3C(=O)C(NC(=O)C(CCC(=O)O)NC(=O)C(N)C(C)O)C(C)C)C(=O)NC(CC3=CC=C(O)C=C3)C(=O)NC3CCCCNC(=O)CC(C(=O)NC(CCCNC(=N)N)C(=O)O)NC(=O)C(CCC(=O)OCC(NC(=O)C4CCCC4C(=O)C(CC4=CC=CC=C4)NC3=O)C(=O)N2)NC1=O
['PF07859.16', 'PF20434.1', 'PF00135.31', 'PF00109.29', 'PF16073.8', 'PF00698.24', 'PF02801.25', 'PF00975.23', 'PF14765.9', 'PF00550.28', 'PF12697.10', 'PF16197.8', 'PF00108.26', 'PF00891.21']	COC1=CC(=O)C2=C(O)C3=C(OC4=C(C(C)=CC(OC)=C4)C3=O)C(O)=C2C1=O
['PF04055.24', 'PF02310.22', 'PF02624.19', 'PF02624.19', 'PF04055.24', 'PF02310.22', 'PF00561.23', 'PF12146.11', 'PF12697.10', 'PF00067.25', 'PF04055.24', 'PF02310.22']	COC(=O)CC(NC(=O)C(NC(=O)C(N=C1NCC(=O)N2CCC(C)C2C(=O)NC(C(C)C)C(=O)NC1C(C)(C)C)C(C)(C)C)C(C)C1=CC=CC=C1)C1=NC=CS1
['PF00106.28', 'PF13561.9', 'PF08659.13', 'PF01370.24', 'PF13460.9', 'PF19086.3', 'PF01565.26', 'PF00106.28', 'PF13561.9', 'PF01370.24']	CC(=O)OC1C2OC2C2=CC(=O)C3(CC2(C)C1C)OC3(C)C=O
['PF00109.29', 'PF16073.8', 'PF00698.24', 'PF00975.23', 'PF02801.25', 'PF00550.28', 'PF14765.9', 'PF00108.26', 'PF00067.25', 'PF00067.25', 'PF07859.16', 'PF20434.1', 'PF10340.12', 'PF00561.23', 'PF18325.4', 'PF00109.29', 'PF18314.4', 'PF02801.25', 'PF01648.23', 'PF00106.28', 'PF13561.9', 'PF08659.13', 'PF16363.8', 'PF08354.13', 'PF00698.24', 'PF01575.22', 'PF16073.8', 'PF17951.4', 'PF13452.9', 'PF00067.25', 'PF00067.25', 'PF02798.23', 'PF00043.28', 'PF13417.9', 'PF13410.9', 'PF14497.9', 'PF13409.9', 'PF13561.9', 'PF00106.28', 'PF08659.13', 'PF01370.24', 'PF00248.24']	COC1=C2C(=O)C3=C(C=CC=C3O)OC2=C2C(=C1)OC1OC=CC21
['PF12146.11', 'PF12697.10', 'PF00561.23', 'PF01553.24', 'PF10142.12', 'PF01326.22', 'PF00391.26', 'PF01648.23', 'PF17837.4', 'PF00109.29', 'PF02801.25', 'PF08659.13', 'PF16197.8', 'PF00550.28', 'PF14765.9', 'PF00106.28', 'PF13561.9', 'PF00108.26', 'PF13847.9', 'PF08242.15', 'PF13649.9', 'PF16363.8', 'PF08241.15', 'PF13489.9', 'PF02353.23', 'PF00891.21', 'PF00109.29', 'PF08659.13', 'PF02801.25', 'PF16197.8', 'PF14765.9', 'PF08242.15', 'PF00550.28', 'PF00106.28', 'PF13649.9', 'PF08241.15', 'PF13847.9', 'PF13489.9', 'PF13561.9', 'PF00108.26', 'PF00107.29', 'PF13602.9', 'PF06080.15', 'PF08240.15', 'PF00109.29', 'PF02801.25', 'PF08659.13', 'PF00550.28', 'PF16197.8', 'PF00106.28', 'PF00108.26', 'PF13561.9', 'PF02353.23', 'PF13847.9', 'PF13649.9', 'PF00891.21', 'PF08242.15', 'PF13489.9', 'PF08241.15', 'PF00109.29', 'PF14765.9', 'PF08659.13', 'PF02801.25', 'PF00550.28', 'PF16197.8', 'PF00106.28', 'PF13561.9', 'PF00975.23', 'PF00108.26', 'PF08242.15', 'PF13649.9', 'PF13489.9', 'PF08241.15', 'PF13847.9', 'PF03853.18', 'PF00698.24', 'PF02797.18', 'PF00195.22', 'PF08392.15', 'PF08541.13', 'PF08545.13']	COC1CC(C)OC(CCC(C)C(O)C(C)C2OC(=O)C(C)=CCC(O)CC3C=CCC(CC(OC)C(C)C(O)CC(O)C(C)C(C(C)C(O)C(C)CCC4CC(OC)CC(C)O4)OC(=O)C(C)=CCC(O)CC4C=CCC(CC(OC)C(C)C(O)CC(O)C2C)O4)O3)C1
['PF00109.29', 'PF00698.24', 'PF08659.13', 'PF02801.25', 'PF14765.9', 'PF16197.8', 'PF00550.28', 'PF00106.28', 'PF00108.26', 'PF13561.9', 'PF13602.9', 'PF01370.24', 'PF00107.29', 'PF18369.4', 'PF02719.18', 'PF08240.15', 'PF00109.29', 'PF00698.24', 'PF08659.13', 'PF02801.25', 'PF14765.9', 'PF16197.8', 'PF00550.28', 'PF00106.28', 'PF00108.26', 'PF01370.24', 'PF16363.8', 'PF02719.18', 'PF18369.4', 'PF08990.14', 'PF04321.20', 'PF00109.29', 'PF00698.24', 'PF08659.13', 'PF02801.25', 'PF14765.9', 'PF16197.8', 'PF00106.28', 'PF00550.28', 'PF13561.9', 'PF13602.9', 'PF00108.26', 'PF00107.29', 'PF01370.24', 'PF18369.4', 'PF16363.8', 'PF02719.18', 'PF08990.14', 'PF08240.15', 'PF00109.29', 'PF00698.24', 'PF08659.13', 'PF02801.25', 'PF00975.23', 'PF16197.8', 'PF00106.28', 'PF00550.28', 'PF08990.14', 'PF00108.26', 'PF01370.24', 'PF13561.9', 'PF00561.23', 'PF12697.10', 'PF16363.8', 'PF00067.25', 'PF16911.8', 'PF00668.23', 'PF01494.22', 'PF12831.10']	CCC(O)C(C)C1OC1CC(C)C=CC=C(C)C1OC(=O)CC(O)CCC(C)(O)C(OC(C)=O)C=CC1C
['PF00501.31', 'PF13193.9', 'PF00975.23', 'PF00698.24', 'PF00109.29', 'PF00698.24', 'PF08659.13', 'PF14765.9', 'PF02801.25', 'PF16197.8', 'PF00550.28', 'PF00106.28', 'PF00975.23', 'PF00108.26', 'PF13561.9', 'PF01370.24', 'PF08990.14', 'PF12697.10', 'PF16073.8', 'PF00561.23', 'PF00109.29', 'PF08659.13', 'PF00698.24', 'PF14765.9', 'PF02801.25', 'PF16197.8', 'PF00550.28', 'PF00106.28', 'PF00108.26', 'PF13602.9', 'PF13561.9', 'PF00107.29', 'PF08990.14', 'PF01370.24', 'PF08240.15', 'PF00109.29', 'PF00698.24', 'PF08659.13', 'PF02801.25', 'PF16197.8', 'PF18369.4', 'PF00106.28', 'PF00550.28', 'PF01370.24', 'PF00108.26', 'PF16363.8', 'PF08990.14', 'PF16073.8', 'PF02719.18', 'PF01073.22', 'PF04321.20', 'PF00109.29', 'PF08659.13', 'PF14765.9', 'PF00698.24', 'PF02801.25', 'PF16197.8', 'PF00550.28', 'PF00106.28', 'PF00108.26', 'PF13561.9', 'PF01370.24', 'PF08990.14', 'PF00109.29', 'PF08659.13', 'PF00698.24', 'PF02801.25', 'PF14765.9', 'PF16197.8', 'PF00106.28', 'PF00550.28', 'PF00108.26', 'PF13561.9', 'PF01370.24', 'PF18369.4', 'PF16363.8', 'PF08990.14', 'PF00109.29', 'PF00698.24', 'PF08659.13', 'PF02801.25', 'PF18369.4', 'PF16197.8', 'PF00550.28', 'PF00106.28', 'PF01370.24', 'PF13561.9', 'PF00108.26', 'PF16073.8', 'PF08990.14', 'PF16363.8', 'PF01073.22', 'PF02719.18', 'PF00109.29', 'PF08659.13', 'PF00698.24', 'PF02801.25', 'PF14765.9', 'PF16197.8', 'PF00106.28', 'PF00550.28', 'PF00108.26', 'PF13561.9', 'PF01370.24', 'PF16363.8', 'PF18369.4', 'PF08990.14', 'PF00109.29', 'PF00698.24', 'PF08659.13', 'PF02801.25', 'PF14765.9', 'PF16197.8', 'PF00106.28', 'PF00550.28', 'PF18369.4', 'PF13561.9', 'PF00108.26', 'PF01370.24', 'PF02719.18', 'PF16363.8', 'PF08990.14', 'PF04321.20', 'PF00109.29', 'PF08659.13', 'PF00698.24', 'PF02801.25', 'PF16197.8', 'PF00550.28', 'PF00106.28', 'PF18369.4', 'PF14765.9', 'PF01370.24', 'PF00108.26', 'PF16363.8', 'PF02719.18', 'PF04321.20', 'PF00975.23', 'PF12697.10', 'PF03959.16', 'PF00795.25']	CC(=CC=CC=CCCC=CC(C)C(O)C(C)C(O)C=CC=CC=CC=CC=CC=CCC(OS(=O)(=O)O)C(C)C(=O)CC(O)CC(O)C=CCC(O)CC(O)CC(O)C=CCC(O)CC(O)C=CCC(O)CC(O)CCCN)C(=O)O
['PF00501.31', 'PF00550.28', 'PF13193.9', 'PF00668.23', 'PF00501.31', 'PF07993.15', 'PF00550.28', 'PF01370.24', 'PF13193.9', 'PF16363.8', 'PF01073.22', 'PF02719.18', 'PF13561.9', 'PF00106.28', 'PF08659.13', 'PF01370.24', 'PF02737.21', 'PF00857.23', 'PF00425.21', 'PF00117.31', 'PF01613.21', 'PF01596.20', 'PF13578.9', 'PF01135.22', 'PF13847.9', 'PF13649.9', 'PF00296.23', 'PF01019.24', 'PF00296.23']	CCC1=CN2C(=O)C3=CC=C(OC)C(O)=C3NC(=O)C2C1
['PF02052.18', 'PF04738.16', 'PF14028.9', 'PF05147.16', 'PF02441.22', 'PF00082.25']	CC=C(NC(=O)C(CCCCN)NC(=O)C(C)NC(=O)C1CSC(C)C(NC(=O)C2CSCC(NC(=O)C(C)NC(=O)C(N)C(C)CC)C(=O)NC(CCCCN)C(=O)NC(CC3=CC=CC=C3)C(=O)NC(CC(C)C)C(=O)N2)C(=O)N2CCCC2C(=O)NCC(=O)N1)C(=O)NCC(=O)NC1CSCC2NC(=O)C(CC3=CC=C(O)C=C3)NC(=O)C(CSC=CNC2=O)NC(=O)C(CC(N)=O)NC(=O)C(CC2=CC=CC=C2)NC1=O
